,Gm#,Date,Unnamed: 2,Tm, ,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
55,54,"Thursday, Jun 2",boxscore,BOS,@,BAL,L,7,12,,32-22,1,up 1.0,Givens,Ross,,2:57,N,21534,--
56,55,"Friday, Jun 3",boxscore,BOS,,TOR,L,2,5,,32-23,1,Tied,Dickey,Price,Osuna,3:10,N,37129,---
57,56,"Saturday, Jun 4",boxscore,BOS,,TOR,W,6,4,,33-23,1,up 1.0,Wright,Stroman,Kimbrel,3:08,D,37762,+
58,57,"Sunday, Jun 5",boxscore,BOS,,TOR,L,4,5,,33-24,1,Tied,Estrada,Rodriguez,,2:44,D,35823,-
59,58,"Tuesday, Jun 7",boxscore,BOS,@,SFG,W,5,3,10,34-24,2,0.5,Tazawa,Casilla,Kimbrel,3:04,N,41512,+
60,59,"Wednesday, Jun 8",boxscore,BOS,@,SFG,L,1,2,,34-25,2,1.5,Gearrin,Price,Strickland,2:45,N,41635,-
61,60,"Friday, Jun 10",boxscore,BOS,@,MIN,W,8,1,,35-25,2,1.0,Wright,Duffey,,3:00,N,22786,+
62,61,"Saturday, Jun 11",boxscore,BOS,@,MIN,W,15,4,,36-25,1,Tied,Hembree,Gibson,,3:45,D,28633,++
63,62,"Sunday, Jun 12",boxscore,BOS,@,MIN,L-wo,4,7,10,36-26,1,Tied,Tonkin,Barnes,,3:28,D,26087,-
64,63,"Tuesday, Jun 14",boxscore,BOS,,BAL,L,2,3,,36-27,2,1.0,Tillman,Price,Britton,2:47,N,38009,--
65,64,"Wednesday, Jun 15",boxscore,BOS,,BAL,W,6,4,,37-27,1,Tied,Wright,Gausman,Kimbrel,2:58,N,36233,+
66,65,"Thursday, Jun 16",boxscore,BOS,,BAL,L,1,5,,37-28,2,1.0,Wilson,Rodriguez,,2:53,N,36757,-
67,66,"Friday, Jun 17",boxscore,BOS,,SEA,L,4,8,,37-29,2,1.0,Iwakuma,Elias,Cishek,2:49,N,35896,--
68,67,"Saturday, Jun 18",boxscore,BOS,,SEA,W,6,2,,38-29,2,1.0,Porcello,Sampson,,2:53,D,37195,+
69,68,"Sunday, Jun 19",boxscore,BOS,,SEA,W,2,1,,39-29,2,1.0,Price,Diaz,Kimbrel,3:05,D,37211,++
70,69,"Monday, Jun 20",boxscore,BOS,,CHW,L,1,3,10,39-30,2,1.0,Duke,Kimbrel,Robertson,3:33,N,36291,-
71,70,"Tuesday, Jun 21",boxscore,BOS,,CHW,L,1,3,,39-31,2,1.0,Sale,Buchholz,Robertson,2:54,N,36544,--
72,71,"Wednesday, Jun 22",boxscore,BOS,,CHW,L,6,8,,39-32,2,2.0,Jennings,Uehara,Duke,3:38,N,37413,---
73,72,"Thursday, Jun 23",boxscore,BOS,,CHW,W-wo,8,7,10,40-32,2,1.5,Kimbrel,Purke,,4:25,D,37790,+
74,73,"Friday, Jun 24",boxscore,BOS,@,TEX,W,8,7,,41-32,2,1.5,Hembree,Bush,Uehara,3:48,N,46811,++
75,74,"Saturday, Jun 25",boxscore,BOS,@,TEX,L,3,10,,41-33,2,3.0,Ramos,Wright,,3:30,N,47559,-
76,75,"Sunday, Jun 26",boxscore,BOS,@,TEX,L,2,6,,41-34,2,4.0,Perez,Buchholz,,3:04,D,36312,--
77,76,"Monday, Jun 27",boxscore,BOS,@,TBR,L,7,13,,41-35,2,4.5,Snell,Rodriguez,,3:29,N,18024,---
78,77,"Tuesday, Jun 28",boxscore,BOS,@,TBR,W,8,2,,42-35,2,4.5,Porcello,Archer,,3:11,N,16986,+
79,78,"Wednesday, Jun 29",boxscore,BOS,@,TBR,L,0,4,,42-36,2,5.5,Moore,Price,,2:49,D,24110,-
80,Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
81,79,"Friday, Jul 1",boxscore,BOS,,LAA,W,5,4,,43-36,2,4.0,Wright,Chacin,Kimbrel,3:36,N,37117,+
82,80,"Saturday, Jul 2",boxscore,BOS,,LAA,L,2,21,,43-37,2,4.0,Santiago,Buchholz,,3:38,N,36552,-
83,81,"Sunday, Jul 3",boxscore,BOS,,LAA,W,10,5,,44-37,2,3.0,O'Sullivan,Shoemaker,,3:52,D,36801,+
84,82,"Monday, Jul 4",boxscore,BOS,,TEX,W,12,5,,45-37,2,2.0,Porcello,Martinez,,3:40,D,36253,++
85,83,"Tuesday, Jul 5",boxscore,BOS,,TEX,L,2,7,,45-38,3,3.0,Ramos,Price,,3:21,N,35964,-
86,84,"Wednesday, Jul 6",boxscore,BOS,,TEX,W,11,6,,46-38,3,3.0,Wright,Perez,,3:19,N,37175,+
87,85,"Friday, Jul 8",boxscore,BOS,,TBR,W,6,5,,47-38,3,2.0,Ross,Archer,Uehara,3:20,N,37739,++
88,86,"Saturday, Jul 9",boxscore,BOS,,TBR,W,4,1,,48-38,2,2.0,Porcello,Moore,Uehara,2:43,D,36900,+++
89,87,"Sunday, Jul 10",boxscore,BOS,,TBR,W,4,0,,49-38,2,2.0,Price,Odorizzi,,2:31,D,36669,++++
90,88,"Friday, Jul 15",boxscore,BOS,@,NYY,W,5,3,,50-38,2,2.0,Wright,Pineda,Uehara,3:05,N,47439,+++++
91,89,"Saturday, Jul 16",boxscore,BOS,@,NYY,W,5,2,,51-38,2,2.0,Rodriguez,Sabathia,Uehara,2:56,D,48329,++++++
92,90,"Sunday, Jul 17",boxscore,BOS,@,NYY,L,1,3,,51-39,2,2.0,Tanaka,Price,Chapman,2:57,N,42884,-
93,91,"Tuesday, Jul 19",boxscore,BOS,,SFG,W,4,0,,52-39,2,0.5,Porcello,Peavy,,2:42,N,38082,+
94,92,"Wednesday, Jul 20",boxscore,BOS,,SFG,W,11,7,,53-39,1,up 0.5,Barnes,Cain,,3:46,N,38201,++
95,93,"Thursday, Jul 21",boxscore,BOS,,MIN,W,13,2,,54-39,1,up 0.5,Wright,Duffey,,2:45,N,37566,+++
96,94,"Friday, Jul 22",boxscore,BOS,,MIN,L,1,2,,54-40,2,0.5,Gibson,Rodriguez,Kintzler,3:00,N,37001,-
97,95,"Saturday, Jul 23",boxscore,BOS,,MIN,L,9,11,,54-41,2,1.5,Pressly,Layne,Kintzler,4:11,N,37600,--
98,96,"Sunday, Jul 24",boxscore,BOS,,MIN,W,8,7,,55-41,2,1.5,Porcello,Milone,Ziegler,3:15,D,36806,+
99,97,"Monday, Jul 25",boxscore,BOS,,DET,L,2,4,,55-42,2,2.5,Verlander,Pomeranz,Rodriguez,3:27,N,37479,-
100,98,"Tuesday, Jul 26",boxscore,BOS,,DET,L,8,9,,55-43,3,2.5,Wilson,Ross,Rodriguez,3:33,N,38378,--
101,99,"Wednesday, Jul 27",boxscore,BOS,,DET,L,3,4,,55-44,3,2.5,Rondon,Ziegler,Wilson,2:55,D,37842,---
102,100,"Thursday, Jul 28",boxscore,BOS,@,LAA,L-wo,1,2,,55-45,3,2.5,Bedrosian,Ziegler,,3:05,N,41257,----
103,101,"Friday, Jul 29",boxscore,BOS,@,LAA,W,6,2,,56-45,3,1.5,Porcello,Lincecum,,2:30,N,39113,+
104,102,"Saturday, Jul 30",boxscore,BOS,@,LAA,L,2,5,,56-46,3,2.0,Santiago,Pomeranz,Street,3:06,N,43150,-
105,103,"Sunday, Jul 31",boxscore,BOS,@,LAA,W,5,3,,57-46,3,1.5,Buchholz,Street,Ziegler,3:32,D,39553,+
106,Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
107,104,"Monday, Aug 1",boxscore,BOS,@,SEA,W,2,1,,58-46,2,1.0,Tazawa,Cishek,Kimbrel,2:42,N,29601,++
108,105,"Tuesday, Aug 2",boxscore,BOS,@,SEA,L,4,5,,58-47,3,2.0,Roach,Abad,Diaz,2:30,N,25240,-
109,106,"Wednesday, Aug 3",boxscore,BOS,@,SEA,L,1,3,,58-48,3,3.0,Iwakuma,Porcello,Diaz,2:16,N,24494,--
110,107,"Thursday, Aug 4",boxscore,BOS,@,SEA,W,3,2,11,59-48,3,2.0,Kimbrel,Martin,Ziegler,3:47,N,33369,+
111,108,"Friday, Aug 5",boxscore,BOS,@,LAD,W,9,0,,60-48,3,2.0,Wright,Kazmir,,2:49,N,52728,++
112,109,"Saturday, Aug 6",boxscore,BOS,@,LAD,L,0,3,,60-49,3,2.0,Stripling,Rodriguez,Jansen,2:54,D,47696,-
113,110,"Sunday, Aug 7",boxscore,BOS,@,LAD,L,5,8,,60-50,3,3.0,Fields,Price,Jansen,3:23,D,50640,--
114,111,"Tuesday, Aug 9",boxscore,BOS,,NYY,W,5,3,,61-50,3,1.5,Porcello,Severino,Barnes,3:13,N,38089,+
115,112,"Wednesday, Aug 10",boxscore,BOS,,NYY,L,4,9,,61-51,3,2.5,Clippard,Abad,,4:15,N,37779,-
116,113,"Thursday, Aug 11",boxscore,BOS,,NYY,L,2,4,,61-52,3,3.0,Cessa,Ziegler,Betances,3:02,N,38161,--
117,114,"Friday, Aug 12",boxscore,BOS,,ARI,W,9,4,,62-52,3,2.5,Price,Corbin,,2:53,N,37555,+
118,115,"Saturday, Aug 13",boxscore,BOS,,ARI,W,6,3,,63-52,3,2.0,Ross,Bradley,Kimbrel,3:12,N,37653,++
119,116,"Sunday, Aug 14",boxscore,BOS,,ARI,W,16,2,,64-52,3,2.0,Porcello,Greinke,,2:49,D,36842,+++
120,117,"Monday, Aug 15",boxscore,BOS,@,CLE,W,3,2,,65-52,3,1.0,Pomeranz,Tomlin,Kimbrel,2:57,D,19174,++++
121,118,"Tuesday, Aug 16",boxscore,BOS,@,BAL,W,5,3,,66-52,2,1.0,Ziegler,Brach,Kimbrel,3:05,N,26014,+++++
122,119,"Wednesday, Aug 17",boxscore,BOS,@,BAL,W,8,1,6,67-52,2,1.0,Price,Bundy,,2:12,N,26160,++++++
123,120,"Thursday, Aug 18",boxscore,BOS,@,DET,L,3,4,,67-53,2,1.5,Wilson,Tazawa,Rodriguez,3:23,D,34649,-
124,121,"Friday, Aug 19",boxscore,BOS,@,DET,W,10,2,,68-53,2,0.5,Porcello,Fulmer,,2:46,N,36108,+
125,122,"Saturday, Aug 20",boxscore,BOS,@,DET,W,3,2,,69-53,2,0.5,Pomeranz,Norris,Kimbrel,2:36,N,37886,++
126,123,"Sunday, Aug 21",boxscore,BOS,@,DET,L,5,10,,69-54,2,0.5,Verlander,Owens,,3:09,D,31032,-
127,124,"Monday, Aug 22",boxscore,BOS,@,TBR,W,6,2,,70-54,1,Tied,Price,Snell,,3:13,N,13576,+
128,125,"Tuesday, Aug 23",boxscore,BOS,@,TBR,W,2,1,,71-54,1,Tied,Buchholz,Archer,Kimbrel,3:09,N,11249,++
129,126,"Wednesday, Aug 24",boxscore,BOS,@,TBR,L-wo,3,4,11,71-55,1,Tied,Boxberger,Hembree,,3:41,N,11896,-
130,127,"Thursday, Aug 25",boxscore,BOS,@,TBR,L,1,2,,71-56,1,Tied,Odorizzi,Pomeranz,Romero,2:32,D,12059,--
131,128,"Friday, Aug 26",boxscore,BOS,,KCR,L,3,6,,71-57,2,1.0,Kennedy,Wright,Herrera,3:14,N,38134,---
132,129,"Saturday, Aug 27",boxscore,BOS,,KCR,W,8,3,,72-57,2,1.0,Price,Duffy,,3:03,N,37933,+
133,130,"Sunday, Aug 28",boxscore,BOS,,KCR,L,4,10,,72-58,2,2.0,Strahm,Rodriguez,,3:25,N,37337,-
134,131,"Monday, Aug 29",boxscore,BOS,,TBR,W,9,4,,73-58,2,2.0,Porcello,Andriese,,3:11,N,36948,+
135,132,"Tuesday, Aug 30",boxscore,BOS,,TBR,L,3,4,,73-59,2,2.0,Romero,Buchholz,Colome,3:11,N,37083,-
136,133,"Wednesday, Aug 31",boxscore,BOS,,TBR,W,8,6,,74-59,2,2.0,Tazawa,Ramirez,Kimbrel,3:10,D,36786,+
137,Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
138,134,"Friday, Sep 2",boxscore,BOS,@,OAK,W,16,2,,75-59,2,1.0,Price,Neal,,3:27,N,21376,++
139,135,"Saturday, Sep 3",boxscore,BOS,@,OAK,W,11,2,,76-59,1,Tied,Porcello,Mengden,,3:00,N,30045,+++
140,136,"Sunday, Sep 4",boxscore,BOS,@,OAK,L-wo,0,1,,76-60,2,1.0,Madson,Kimbrel,,2:39,D,25139,-
141,137,"Monday, Sep 5",boxscore,BOS,@,SDP,L,1,2,,76-61,2,1.0,Jackson,Pomeranz,Maurer,3:01,D,40446,--
142,138,"Tuesday, Sep 6",boxscore,BOS,@,SDP,W,5,1,,77-61,1,Tied,Buchholz,Clemens,,3:04,N,30644,+
143,139,"Wednesday, Sep 7",boxscore,BOS,@,SDP,W,7,2,,78-61,1,up 1.0,Price,Cosart,,3:01,N,31662,++
144,140,"Friday, Sep 9",boxscore,BOS,@,TOR,W,13,3,,79-61,1,up 2.0,Porcello,Estrada,,3:23,N,46953,+++
145,141,"Saturday, Sep 10",boxscore,BOS,@,TOR,L,2,3,,79-62,1,up 1.0,Happ,Rodriguez,Osuna,3:03,D,47829,-
146,142,"Sunday, Sep 11",boxscore,BOS,@,TOR,W,11,8,,80-62,1,up 2.0,Ross,Schultz,Kimbrel,3:46,D,47816,+
147,143,"Monday, Sep 12",boxscore,BOS,,BAL,W,12,2,,81-62,1,up 2.0,Price,Miley,,2:40,N,37551,++
148,144,"Tuesday, Sep 13",boxscore,BOS,,BAL,L,3,6,,81-63,1,up 2.0,Bundy,Pomeranz,Britton,3:29,N,38041,-
149,145,"Wednesday, Sep 14",boxscore,BOS,,BAL,L,0,1,,81-64,1,up 1.0,Gausman,Porcello,Britton,2:35,N,37973,--
150,146,"Thursday, Sep 15",boxscore,BOS,,NYY,W-wo,7,5,,82-64,1,up 2.0,Kelly,Betances,,3:52,N,37767,+
151,147,"Friday, Sep 16",boxscore,BOS,,NYY,W,7,4,,83-64,1,up 2.0,Buchholz,Cessa,Kimbrel,3:13,N,37927,++
152,148,"Saturday, Sep 17",boxscore,BOS,,NYY,W,6,5,,84-64,1,up 3.0,Barnes,Warren,Kimbrel,3:36,D,37267,+++
153,149,"Sunday, Sep 18",boxscore,BOS,,NYY,W,5,4,,85-64,1,up 3.0,Scott,Clippard,Uehara,3:31,N,37306,++++
154,150,"Monday, Sep 19",boxscore,BOS,@,BAL,W,5,2,,86-64,1,up 4.0,Porcello,Bundy,,2:33,N,18456,+++++
155,151,"Tuesday, Sep 20",boxscore,BOS,@,BAL,W,5,2,,87-64,1,up 4.0,Rodriguez,Gausman,Kimbrel,3:14,N,20387,++++++
156,152,"Wednesday, Sep 21",boxscore,BOS,@,BAL,W,5,1,,88-64,1,up 5.0,Buchholz,Jimenez,,2:55,N,20865,+++++++
157,153,"Thursday, Sep 22",boxscore,BOS,@,BAL,W,5,3,,89-64,1,up 5.5,Price,Worley,Kimbrel,3:19,N,26788,++++++++
158,154,"Friday, Sep 23",boxscore,BOS,@,TBR,W,2,1,,90-64,1,up 5.5,Pomeranz,Archer,Ziegler,2:52,N,20543,+++++++++
159,155,"Saturday, Sep 24",boxscore,BOS,@,TBR,W,6,4,,91-64,1,up 5.5,Porcello,Garton,Kimbrel,3:10,N,25641,++++++++++
160,156,"Sunday, Sep 25",boxscore,BOS,@,TBR,W,3,2,10,92-64,1,up 5.5,Kelly,Gamboa,,4:01,D,26443,+++++++++++
161,157,"Tuesday, Sep 27",boxscore,BOS,@,NYY,L,4,6,,92-65,1,up 5.0,Parker,Price,Clippard,3:09,N,35161,-
162,158,"Wednesday, Sep 28",boxscore,BOS,@,NYY,L-wo,3,5,,92-66,1,up 5.0,Pazos,Kimbrel,,3:28,N,35520,--
163,159,"Thursday, Sep 29",boxscore,BOS,@,NYY,L,1,5,,92-67,1,up 5.0,Sabathia,Owens,,3:17,N,41597,---
164,160,"Friday, Sep 30",boxscore,BOS,,TOR,W,5,3,,93-67,1,up 5.0,Ziegler,Biagini,Kimbrel,3:25,N,37661,+
165,Gm#,October,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
166,161,"Saturday, Oct 1",boxscore,BOS,,TOR,L,3,4,,93-68,1,up 5.0,Osuna,Kimbrel,,3:29,N,37396,-
167,162,"Sunday, Oct 2",boxscore,BOS,,TOR,L,1,2,,93-69,1,up 4.0,Sanchez,Ziegler,Osuna,3:14,D,36787,--
168,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
